,NOMBRE,EQUIPO,MJ,PJ,PPJ,PC,PPC,PT,PPT,PS,PPS,TA,TR,SA,G,PR,GPP,GE
,ABDE EZZALZOULI,REAL BETIS,546,15,16.67,0,16.67,3,16.67,3,16.67,0,0,0,1,0,0,6
,ABDE REBBACH,DEPORTIVO ALAVES,523,15,27.78,0,27.78,5,27.78,5,27.78,0,0,0,1,0,0,5
,ABDEL ABQAR,DEPORTIVO ALAVES,1255,14,11.11,12,11.11,14,11.11,2,11.11,5,0,0,0,0,1,18
,ABDUL MUMIN,RAYO VALLECANO,795,10,5.56,8,5.56,9,5.56,1,5.56,1,1,0,1,0,0,10
,ABDON PRATS,RCD MALLORCA,655,15,33.33,2,33.33,8,33.33,6,33.33,1,0,0,5,0,0,7
,ABNER VINICIUS DA SILVA SANTOS,REAL BETIS,790,12,5.56,7,5.56,8,5.56,1,5.56,2,0,0,0,0,0,8
,ADNAN JANUZAJ,SEVILLA FC,161,6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,2
,ADRI EMBARBA,UD ALMERIA,1146,17,55.56,4,55.56,14,55.56,10,55.56,2,0,0,0,0,0,29
,ADRIA ALTI,VILLARREAL CF,645,9,22.22,4,22.22,8,22.22,4,22.22,2,0,0,0,0,0,17
,ADRIA PEDROSA,SEVILLA FC,1077,16,27.78,5,27.78,10,27.78,5,27.78,1,0,0,1,0,0,15
,AIHEN MUNOZ,REAL SOCIEDAD,1070,18,0.00,10,0.00,10,0.00,0,0.00,2,0,0,0,0,0,14
,AIMAR OROZ,CA OSASUNA,1439,18,72.22,4,72.22,17,72.22,13,72.22,2,0,0,1,0,0,24
,AITOR FERNANDEZ,CA OSASUNA,280,4,0.00,3,0.00,3,0.00,0,0.00,2,0,0,0,0,0,6
,AITOR PAREDES,ATHLETIC CLUB,1426,18,22.22,12,22.22,16,22.22,4,22.22,4,0,0,0,0,0,13
,AITOR RUIBAL,REAL BETIS,557,10,11.11,3,11.11,5,11.11,2,11.11,4,0,0,1,0,0,6
,ALBERTO MARI,VALENCIA CF,9,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ALBERTO MOLEIRO,UD LAS PALMAS,452,8,22.22,1,22.22,5,22.22,4,22.22,0,0,0,1,0,0,4
,ALBERTO MORENO,VILLARREAL CF,521,12,27.78,0,27.78,5,27.78,5,27.78,0,1,1,0,1,0,9
,ALBERTO PEREA,GRANADA CF,2,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ALBERTO SORO,,7,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,ALEIX GARCIA,GIRONA FC,1620,18,0.00,18,0.00,18,0.00,0,0.00,2,0,0,3,0,0,21
,ALEJANDRO BALDE,FC BARCELONA,1198,16,16.67,10,16.67,13,16.67,3,16.67,1,0,0,0,0,0,14
,ALEJANDRO CATENA,CA OSASUNA,1254,14,0.00,14,0.00,14,0.00,0,0.00,5,1,0,1,0,0,21
,ALEKSANDAR SEDLAR,DEPORTIVO ALAVES,948,11,16.67,8,16.67,11,16.67,3,16.67,2,0,0,1,0,0,14
,ALEX BERENGUER,ATHLETIC CLUB,475,17,16.67,0,16.67,3,16.67,3,16.67,2,0,0,2,0,0,6
,ALEXANDER SORLOTH,VILLARREAL CF,1130,16,22.22,10,22.22,14,22.22,4,22.22,1,0,0,6,1,0,23
,ALFONSO ESPINO,RAYO VALLECANO,1399,16,22.22,12,22.22,16,22.22,4,22.22,6,0,0,0,0,1,21
,ALFONSO PEDRAZA,VILLARREAL CF,894,13,27.78,7,27.78,12,27.78,5,27.78,4,1,0,1,0,0,20
,AMATH NDIAYE,RCD MALLORCA,381,14,16.67,0,16.67,3,16.67,3,16.67,2,0,0,0,1,0,4
,ANDER BARRENETXEA,REAL SOCIEDAD,830,14,66.67,0,66.67,12,66.67,12,66.67,0,0,0,3,0,0,11
,ANDER GUEVARA,DEPORTIVO ALAVES,1484,17,33.33,11,33.33,17,33.33,6,33.33,5,0,0,1,0,0,21
,ANDER HERRERA,ATHLETIC CLUB,545,11,22.22,2,22.22,6,22.22,4,22.22,2,0,0,0,0,0,4
,ANDONI GOROSABEL,DEPORTIVO ALAVES,1523,18,27.78,12,27.78,17,27.78,5,27.78,4,0,0,0,0,0,22
,ANDREAS CHRISTENSEN,FC BARCELONA,1014,14,50.00,5,50.00,14,50.00,9,50.00,2,0,0,0,0,0,12
,ANDREI RATIU,RAYO VALLECANO,260,4,11.11,1,11.11,3,11.11,2,11.11,1,0,0,0,0,0,4
,ANDRIY LUNIN,REAL MADRID,630,7,0.00,7,0.00,7,0.00,0,0.00,0,0,0,0,0,0,4
,DOMINGOS ANDRE RIBEIRO ALMEIDA,VALENCIA CF,483,8,33.33,0,33.33,6,33.33,6,33.33,0,0,0,0,0,0,6
,ANDRE FILIPE MAGALHAES RIBEIRO FERREIRA,GRANADA CF,1339,15,0.00,14,0.00,14,0.00,0,0.00,1,0,0,0,0,0,29
,ANDRE MIGUEL VALENTE DA SILVA,REAL SOCIEDAD,90,4,5.56,0,5.56,1,5.56,1,5.56,0,0,0,0,0,0,0
,ANDRES GUARDADO,REAL BETIS,352,11,16.67,0,16.67,3,16.67,3,16.67,2,0,0,0,0,0,4
,ANSU FATI,BRIGHTON,47,3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ANTE BUDIMIR,CA OSASUNA,1315,18,55.56,5,55.56,15,55.56,10,55.56,4,0,0,8,2,0,24
,ANTHONY LOZANO,GETAFE CF,88,6,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,4
,ANTOINE GRIEZMANN,ATLETICO DE MADRID,1472,18,38.89,11,38.89,18,38.89,7,38.89,3,0,0,11,0,0,17
,ANTONIO BLANCO,DEPORTIVO ALAVES,1105,16,33.33,7,33.33,13,33.33,6,33.33,0,1,0,0,0,0,16
,JOSE ANTONIO RODRIGUEZ DIAZ,GRANADA CF,601,17,22.22,1,22.22,5,22.22,4,22.22,0,1,0,0,0,0,18
,ANTONIO RAILLO,RCD MALLORCA,623,8,11.11,5,11.11,7,11.11,2,11.11,1,0,0,2,0,0,5
,ANTONIO RUDIGER,REAL MADRID,1480,17,0.00,16,0.00,16,0.00,0,0.00,7,0,0,0,0,0,10
,ANTONIO SIVERA,DEPORTIVO ALAVES,1620,18,0.00,18,0.00,18,0.00,0,0.00,1,0,0,0,0,0,24
,ANTONIO SANCHEZ,RCD MALLORCA,669,13,55.56,0,55.56,10,55.56,10,55.56,2,0,0,1,0,0,6
,ARIDANE HERNANDEZ,RAYO VALLECANO,791,9,5.56,8,5.56,9,5.56,1,5.56,3,0,0,0,0,0,13
,ARITZ ELUSTONDO,REAL SOCIEDAD,374,7,11.11,2,11.11,4,11.11,2,11.11,0,0,0,0,0,0,2
,ARNAU MARTINEZ,GIRONA FC,718,11,38.89,2,38.89,9,38.89,7,38.89,3,0,0,0,0,0,7
,ARNAU PUIGMAL,UD ALMERIA,240,10,16.67,0,16.67,3,16.67,3,16.67,3,0,0,0,0,0,4
,ARSEN ZAKHARYAN,REAL SOCIEDAD,412,11,27.78,-1,27.78,4,27.78,5,27.78,0,0,0,0,0,0,4
,ARTEM DOVBYK,GIRONA FC,1048,17,61.11,2,61.11,13,61.11,11,61.11,1,0,0,11,0,0,12
,ASIER VILLALIBRE,ATHLETIC CLUB,164,8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,1,0,0,4
,ASSANE DIAO,REAL BETIS,740,11,38.89,2,38.89,9,38.89,7,38.89,2,0,0,2,0,0,5
,AURELIEN TCHOUAMENI,REAL MADRID,891,13,22.22,6,22.22,10,22.22,4,22.22,3,0,0,1,0,0,4
,AXEL WITSEL,ATLETICO DE MADRID,1460,17,5.56,15,5.56,16,5.56,1,5.56,2,0,0,1,0,0,16
,AYOZE PEREZ,REAL BETIS,1361,17,55.56,7,55.56,17,55.56,10,55.56,3,0,0,4,0,0,15
,AISSA MANDI,VILLARREAL CF,645,9,5.56,6,5.56,7,5.56,1,5.56,2,0,0,1,0,0,14
,TIAGO MANUEL DIAS CORREIA,RAYO VALLECANO,123,13,0.00,0,0.00,0,0.00,0,0.00,1,0,0,2,0,0,2
,BEN BRERETON,VILLARREAL CF,236,13,11.11,0,11.11,2,11.11,2,11.11,2,0,0,0,0,0,3
,BENITO RAMIREZ,UD LAS PALMAS,117,8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,1,0,0,3
,BERNARDO ESPINOSA,GIRONA FC,2,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,BENAT PRADOS,ATHLETIC CLUB,385,11,16.67,0,16.67,3,16.67,3,16.67,0,0,0,0,0,0,4
,BENAT TURRIENTES,REAL SOCIEDAD,580,12,33.33,0,33.33,6,33.33,6,33.33,1,0,0,0,0,0,7
,BORJA IGLESIAS,REAL BETIS,301,9,11.11,1,11.11,3,11.11,2,11.11,2,0,0,0,0,0,2
,BORJA MAYORAL,GETAFE CF,1433,18,61.11,6,61.11,17,61.11,11,61.11,2,0,0,12,1,0,17
,BOUBAKARY SOUMARE,SEVILLA FC,792,11,11.11,7,11.11,9,11.11,2,11.11,4,0,0,0,0,0,13
,BRAHIM DIAZ,REAL MADRID,509,13,33.33,0,33.33,6,33.33,6,33.33,0,0,0,3,0,0,2
,BRAIS MENDEZ,REAL SOCIEDAD,1296,16,16.67,12,16.67,15,16.67,3,16.67,5,0,0,2,1,0,17
,BRIAN OCAMPO,CADIZ CF,53,4,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,0
,BRYAN ZARAGOZA,GRANADA CF,1290,17,22.22,10,22.22,14,22.22,4,22.22,5,0,0,5,1,0,33
,CARL STARFELT,RC CELTA,1359,16,11.11,14,11.11,16,11.11,2,11.11,2,0,0,1,0,0,25
,CARLES ALENA,GETAFE CF,583,14,38.89,0,38.89,7,38.89,7,38.89,4,0,0,1,0,0,12
,CARLES PEREZ,RC CELTA,273,6,11.11,0,11.11,2,11.11,2,11.11,1,0,0,0,0,0,5
,CARLOS BENAVIDEZ,DEPORTIVO ALAVES,369,12,16.67,0,16.67,3,16.67,3,16.67,1,0,0,0,0,0,6
,CARLOS DOMINGUEZ,RC CELTA,402,5,11.11,2,11.11,4,11.11,2,11.11,1,0,0,0,0,0,7
,CARLOS DOTOR,RC CELTA,505,13,11.11,3,11.11,5,11.11,2,11.11,2,0,0,0,0,0,10
,CARLOS FERNANDEZ,REAL SOCIEDAD,406,10,22.22,1,22.22,5,22.22,4,22.22,2,0,0,2,0,0,3
,CARLOS NEVA,GRANADA CF,1536,18,33.33,12,33.33,18,33.33,6,33.33,2,0,0,0,0,0,37
,CARLOS ROMERO,VILLARREAL B,237,6,11.11,0,11.11,2,11.11,2,11.11,1,0,0,0,0,0,8
,CENK OZKACAR,VALENCIA CF,587,8,11.11,5,11.11,7,11.11,2,11.11,2,0,0,0,0,1,9
,CHADI RIAD,REAL BETIS,1104,13,5.56,11,5.56,12,5.56,1,5.56,0,0,0,0,0,0,12
,EZEQUIEL AVILA,CA OSASUNA,851,16,38.89,2,38.89,9,38.89,7,38.89,3,2,0,1,0,0,12
,CHRIS RAMOS,CADIZ CF,1341,18,55.56,6,55.56,16,55.56,10,55.56,1,0,0,5,1,0,18
,JUAN BRANDARIZ MOVILLA,UD ALMERIA,1264,16,5.56,13,5.56,14,5.56,1,5.56,2,0,0,0,0,0,32
,CLAUDIO BRAVO,REAL BETIS,630,7,0.00,7,0.00,7,0.00,0,0.00,0,0,0,0,0,0,5
,CONAN LEDESMA,CADIZ CF,1339,15,5.56,14,5.56,15,5.56,1,5.56,0,0,0,0,0,0,22
,JOSE MANUEL ARIAS COPETE,RCD MALLORCA,547,8,22.22,3,22.22,7,22.22,4,22.22,3,0,0,0,0,0,11
,CRISTHIAN MOSQUERA,VALENCIA CF,1274,16,5.56,12,5.56,13,5.56,1,5.56,1,0,0,0,0,0,18
,CRISTHIAN STUANI,GIRONA FC,566,17,27.78,0,27.78,5,27.78,5,27.78,5,0,0,6,0,0,9
,CRISTIAN HERRERA,UD LAS PALMAS,122,6,0.00,1,0.00,1,0.00,0,0.00,1,0,0,1,0,0,4
,CYLE LARIN,RCD MALLORCA,780,17,33.33,1,33.33,7,33.33,6,33.33,2,0,0,1,0,0,8
,CESAR AZPILICUETA,ATLETICO DE MADRID,948,15,22.22,5,22.22,9,22.22,4,22.22,3,0,0,0,0,0,12
,CESAR MONTES,UD ALMERIA,784,9,5.56,8,5.56,9,5.56,1,5.56,2,0,0,0,0,0,20
,CESAR TARREGA,VALENCIA CF,7,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,DALEY BLIND,GIRONA FC,1531,18,5.56,16,5.56,17,5.56,1,5.56,3,0,0,0,0,0,20
,DALEY SINKGRAVEN,UD LAS PALMAS,222,5,16.67,1,16.67,4,16.67,3,16.67,0,0,0,0,0,0,2
,DAMIAN SUAREZ,GETAFE CF,1146,14,27.78,8,27.78,13,27.78,5,27.78,6,0,0,0,0,0,18
,DANI CARVAJAL,REAL MADRID,1090,13,27.78,8,27.78,13,27.78,5,27.78,1,0,0,2,0,0,5
,DANI CEBALLOS,REAL MADRID,140,8,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,0
,DANIEL GARCIA CARRILLO,ATHLETIC CLUB,399,10,16.67,1,16.67,4,16.67,3,16.67,3,0,0,1,0,0,7
,DANI PAREJO,VILLARREAL CF,1487,17,33.33,11,33.33,17,33.33,6,33.33,2,0,0,2,0,0,32
,DANI RODRIGUEZ,RCD MALLORCA,1360,17,61.11,5,61.11,16,61.11,11,61.11,5,0,0,2,0,0,20
,DANI VIVIAN,ATHLETIC CLUB,1599,18,11.11,16,11.11,18,11.11,2,11.11,3,0,0,0,0,0,19
,DARWIN MACHIS,CADIZ CF,677,14,38.89,2,38.89,9,38.89,7,38.89,0,1,0,3,0,0,11
,DAVID ALABA,REAL MADRID,1156,14,11.11,12,11.11,14,11.11,2,11.11,2,0,0,0,0,1,10
,DAVID GARCIA,CA OSASUNA,1530,17,0.00,17,0.00,17,0.00,0,0.00,2,0,0,0,0,0,27
,DAVID GIL,CADIZ CF,281,4,0.00,3,0.00,3,0.00,0,0.00,1,0,0,0,0,0,2
,DAVID LOPEZ,GIRONA FC,1193,15,27.78,10,27.78,15,27.78,5,27.78,3,0,0,2,0,0,15
,DAVID SORIA,GETAFE CF,1620,18,0.00,18,0.00,18,0.00,0,0.00,2,0,0,0,0,0,23
,DENIS SUAREZ,VILLARREAL CF,131,4,0.00,1,0.00,1,0.00,0,0.00,0,0,0,0,0,0,5
,DIEGO LOPEZ,VALENCIA CF,1335,18,77.78,2,77.78,16,77.78,14,77.78,1,0,0,2,0,0,16
,DIEGO MARINO,UD ALMERIA,90,1,0.00,1,0.00,1,0.00,0,0.00,0,0,0,0,0,0,2
,DIEGO MENDEZ,RAYO VALLECANO,4,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,DIEGO RICO,GETAFE CF,1156,13,22.22,9,22.22,13,22.22,4,22.22,5,0,0,0,0,0,17
,DIMITRI FOULQUIER,VALENCIA CF,464,14,5.56,2,5.56,3,5.56,1,5.56,2,0,0,0,0,0,7
,DION LOPY,UD ALMERIA,1095,16,33.33,7,33.33,13,33.33,6,33.33,2,0,0,0,0,0,28
,DJENE DAKONAM,GETAFE CF,1066,15,22.22,9,22.22,13,22.22,4,22.22,6,1,1,0,0,0,13
,DJIBRIL SOW,SEVILLA FC,913,14,44.44,3,44.44,11,44.44,8,44.44,2,0,0,1,0,0,12
,DODI LUKEBAKIO,SEVILLA FC,743,12,33.33,3,33.33,9,33.33,6,33.33,0,0,0,2,0,0,9
,DOMINGOS DE SOUSA COUTINHO MENESES DUARTE,GETAFE CF,760,11,5.56,8,5.56,9,5.56,1,5.56,3,2,1,0,0,0,14
,EDGAR GONZALEZ,UD ALMERIA,1164,14,5.56,13,5.56,14,5.56,1,5.56,1,1,1,1,0,0,25
,EDUARDO CAMAVINGA,REAL MADRID,751,13,38.89,2,38.89,9,38.89,7,38.89,3,0,0,0,0,0,6
,ENZO LOIODICE,UD LAS PALMAS,1079,18,44.44,4,44.44,12,44.44,8,44.44,1,0,0,0,0,0,8
,ERIC CURBELO,UD LAS PALMAS,90,1,0.00,1,0.00,1,0.00,0,0.00,0,0,0,0,0,0,2
,ERIC GARCIA,GIRONA FC,1189,15,16.67,10,16.67,13,16.67,3,16.67,2,0,0,1,0,0,18
,FABRIZIO ANGILERI,GETAFE CF,77,5,5.56,0,5.56,1,5.56,1,5.56,2,1,0,0,0,0,3
,RAFAEL JIMENEZ JARQUE,CADIZ CF,1429,17,16.67,14,16.67,17,16.67,3,16.67,7,0,0,0,0,0,20
,FAMARA DIEDHIOU,GRANADA CF,82,8,0.00,0,0.00,0,0.00,0,0.00,1,0,0,0,1,0,3
,FEDE SAN EMETERIO,CADIZ CF,140,3,11.11,0,11.11,2,11.11,2,11.11,1,1,0,1,0,0,1
,FEDERICO GATTONI,SEVILLA FC,9,2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,FEDERICO VALVERDE,REAL MADRID,1478,18,33.33,11,33.33,17,33.33,6,33.33,1,0,0,1,0,0,8
,FERLAND MENDY,REAL MADRID,725,10,27.78,4,27.78,9,27.78,5,27.78,2,0,0,0,0,0,3
,FERMIN LOPEZ,FC BARCELONA,508,12,33.33,0,33.33,6,33.33,6,33.33,1,0,0,1,0,0,7
,FERNANDO FRANCISCO REGES,SEVILLA FC,459,8,22.22,1,22.22,5,22.22,4,22.22,0,0,0,0,0,0,10
,FERNANDO MARTINEZ,UD ALMERIA,180,2,0.00,2,0.00,2,0.00,0,0.00,0,0,0,0,0,0,7
,FERRAN TORRES,FC BARCELONA,725,17,27.78,2,27.78,7,27.78,5,27.78,2,0,0,3,1,0,10
,FILIP JORGENSEN,VILLARREAL CF,1620,18,0.00,18,0.00,18,0.00,0,0.00,1,0,0,0,0,0,35
,FLORIAN LEJEUNE,RAYO VALLECANO,1618,18,5.56,17,5.56,18,5.56,1,5.56,4,0,0,0,0,1,24
,FRAN BELTRAN,RC CELTA,1020,16,38.89,5,38.89,12,38.89,7,38.89,2,0,0,0,0,0,19
,FRAN GARCIA,REAL MADRID,680,13,27.78,3,27.78,8,27.78,5,27.78,1,0,0,0,0,0,8
,FRAN PEREZ,VALENCIA CF,1178,18,72.22,2,72.22,15,72.22,13,72.22,4,0,0,1,0,0,11
,FRANCISCO BARBOSA VIEITES,REAL BETIS,225,3,0.00,2,0.00,2,0.00,0,0.00,0,0,0,0,0,0,4
,FRANCIS COQUELIN,VILLARREAL CF,6,1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,FRANCO CERVI,RC CELTA,365,9,16.67,1,16.67,4,16.67,3,16.67,1,0,0,0,0,0,7
